Entity,Year,plastic_waste_gen,Population_2010,Area_km2,plastic_waste_per_cap,mismanaged_waste,percent_of_inadequate_managed,GDP,GDP_per_cap
Albania,2010,73364,3195000,28748,0.069,0.0933,45,10420206418.2643,3261.4104595506415
Algeria,2010,1898343,35978000,2381741,0.144,1.6347,58,140977153154.987,3918.4266261322755
Angola,2010,528843,18992708,1246700,0.062,0.1964,71,93159279071.8947,4905.002439457012
Antigua and Barbuda,2010,22804,101484,45227,0.66,0.0039,6,1231261603.44532,17108.21610805715
Argentina,2010,2753550,40518951,2780400,0.183,0.4955,12,552738161802.463,13641.472648254468
Aruba,2010,9352,101484,49035,0.252,0.0012,1,2628802064.83063,25903.611060173327
Australia,2010,900658,22299800,7692024,0.112,0.0436,0,1179642326916.53,52899.23348714024
Bahamas,2010,51364,353658,309500,0.39,0.0042,1,62776154506.6944,11297.366558909818
Bahrain,2010,59785,1234571,765.3,0.132,0.0137,10,26036230937.9271,21089.294125592696
Bangladesh,2010,1888170,148600000,147570,0.034,2.4725,87,143577568429.643,966.201671801097
Barbados,2010,58164,276300,49035,0.57,0.0109,4,4727000110.65619,17108.21610805715
Belgium,2010,318151,10839905,30528,0.08,0.0086,0,433229543117.888,39966.17526794635
Belize,2010,20191,312971,1566000,0.172,0.0122,29,1524863986.02698,4872.221343277747
Benin,2010,144382,9211741,114763,0.043,0.1351,83,9094481722.87524,987.2706715131527
Bermuda,2010,5990,399637,45227,0.252,4e-4,0,7543950875.42882,68818.10802590568
Bosnia and Herzegovina,2010,195633,3844046,51129,0.144,0.0407,40,15177492377.319,3948.3118509297237
Brazil,2010,11852055,193252604,8515767,0.165,1.4804,9,1703150040884.74,8813.076800169481
British Virgin Islands,2010,2504,165397,11581,0.252,2e-4,0,233552827575.378,82438.69098133064
Brunei,2010,3688,414400,11581,0.026,3e-4,1,7543950875.42882,51293.15394147962
Bulgaria,2010,415707,7563710,110993.6,0.154,0.0588,31,47537505667.6491,6284.945571372924
Cambodia,2010,344698,14302779,181035,0.066,0.0932,87,12767924407.3675,892.6883654825052
Cameroon,2010,335305,19958352,475442,0.046,0.087,81,25389533348.6282,1272.1257420767106
Canada,2010,1154309,34108752,9984670,0.093,0.025,0,1399482212058.69,41030.00344482524
Cape Verde,2010,11919,512582,10991,0.065,0.0294,74,234129899.999999,5524.885743049917
Cayman Islands,2010,5106,180865,11581,0.252,3e-4,0,4300110884.43538,22434.421358925585
Channel Islands,2010,14678,165397,721.5,0.252,9e-4,0,2628802064.83063,25903.611060173327
Chile,2010,738106,17094270,756096,0.119,0.0683,7,201493845099.574,11787.215546471069
China,2010,59079741,1339724852,9596961,0.121,27.6966,74,7554098728366.12,5638.544897550441
Colombia,2010,2413455,45508205,1141748,0.144,0.2895,21,233471483024.664,5130.31623692176
Comoros,2010,50599,675000,1566000,0.201,0.1822,83,833484348.26485,1234.791627059037
Congo,2010,110479,106267,71740,0.069,0.0527,77,180807400,541.3297483794358
Costa Rica,2010,428029,4563539,51100,0.258,0.1322,16,46858456852.1451,10268.008414553946
Cote d'Ivoire,2010,766988,21570746,322463,0.103,0.611,82,34643522302.3377,1606.0419191036647
Croatia,2010,406347,4425747,56594,0.252,0.0517,9,50466734849.7721,11402.986851659642
Cuba,2010,368154,11241161,109884,0.089,0.2846,23,75879253449.5413,6750.1260278668105
Curacao,2010,13678,142180,83600,0.252,8e-4,0,3189726028.81204,22434.421358925585
Cyprus,2010,100713,1102677,338424,0.248,0.0057,0,21581989484.9149,19572.35843761582
Democratic Republic of Congo,2010,1059795,24325701,513120,0.045,0.0478,85,60876692056.519,1538.9694804674668
Denmark,2010,95171,5534738,42931,0.047,0.0056,0,283894168259.757,51293.15394147962
Djibouti,2010,31999,879053,1030000,0.103,0.0544,73,16339698488.6725,1115.162005660105
Dominica,2010,3885,414400,2040,0.149,0.0025,19,544369631.871101,8907.583499451475
Dominican Republic,2010,520238,9884371,48315,0.144,0.3713,25,55959424375.3002,5661.404693864708
Ecuador,2010,801321,14483499,283561,0.147,0.3435,30,79915230250.8205,5517.67430306865
Egypt,2010,5464471,78728000,1010408,0.178,3.0367,67,232653672974.011,2475.929225971815
El Salvador,2010,330763,6194126,21041,0.147,0.3729,33,20622814499.2436,3329.4147550830576
Equatorial Guinea,2010,49990,1313000,28050,0.144,0.0188,30,13061295371.5232,9947.673550284233
Eritrea,2010,72120,5223994,117600,0.045,0.0511,77,2073049788.22944,396.832344797762
Estonia,2010,85534,1340127,45227,0.176,0.0188,9,19412870879.848,14485.844162417443
Faeroe Islands,2010,4466,109553,338424,0.252,3e-4,0,7543950875.42882,20564.393557390435
Fiji,2010,59324,850700,825615,0.189,0.1547,78,3889692595.79116,4572.343476890984
Finland,2010,458084,5351427,338424,0.234,0.0157,0,233552827575.378,43643.09324884335
France,2010,4557128,62791013,640679,0.192,0.0757,0,2316635691390.19,36894.38314031006
French Polynesia,2010,24634,267000,176215,0.252,0.004,3,1524863986.02698,2202.169758357022
Gabon,2010,32329,1501266,267667,0.054,0.0191,34,11147389028.9243,7425.325711049407
Gambia,2010,29646,1750732,10689,0.048,0.0616,84,1986757270.54383,5086.322996689805
Georgia,2010,97443,4436391,69700,0.068,0.0454,51,11741493896.7964,2646.6318899295397
Germany,2010,14476561,81802257,357168,0.485,0.0981,0,3086729981515.2,37734.04420265813
Ghana,2010,357877,24223431,239567,0.04,0.2876,81,35165253297.9777,1451.704066941537
Gibraltar,2010,3053,7785806,27834,0.252,2e-4,0,641851654874.59,20620.477261257434
Greece,2010,811858,11305118,131957,0.2,0.0447,0,239683631166.503,21201.338293550143
Greenland,2010,5234,8518862,338424,0.252,3e-4,0,2458186589.29546,30055.394248753102
Grenada,2010,12417,109553,45227,0.325,0.0071,18,855943864.73553,7813.057284926292
Guam,2010,14666,180865,491210,0.252,0.0012,0,5435968880.80073,30055.394248753102
Guatemala,2010,1495229,14361666,108889,0.28,0.2875,36,51426570817.8819,3580.82208692793
Guinea,2010,118196,10323755,245836,0.03,0.0581,84,7025019965.89314,680.4713949423577
Guinea-Bissau,2010,30666,1647380,36125,0.054,0.0636,83,891775800.885315,541.3297483794358
Guyana,2010,159681,761442,30355,0.586,0.1319,36,3632810573.79841,4770.961640937077
Haiti,2010,328487,9855000,27750,0.09,0.4628,47,12902331959.0731,1309.2168400885946
Honduras,2010,565317,8045990,112492,0.189,0.3003,40,17516608425.7374,2177.060675657986
Hong Kong,2010,1020406,7024200,2755,0.398,0.0895,1,1899561666732.94,37734.04420265813
Iceland,2010,32620,317630,199951,0.281,0.0019,0,15327572988.2618,48256.06204786009
India,2010,4493080,1182105564,3287263,0.01,1.8836,85,1535897532897.39,1299.2896570930868
Indonesia,2010,5045714,237641326,1904569,0.057,10.1019,81,657835435591.365,2768.1861848867356
Iran,2010,3919268,74733230,1648195,0.144,0.7769,50,380985472030.909,5130.31623692176
Iraq,2010,1156524,32481000,437072,0.103,0.0489,63,120516353029.395,3710.364614063453
Ireland,2010,715716,4467854,70273,0.43,0.0368,0,209372883796.731,46862.069305919795
Israel,2010,826436,7623600,22072,0.297,0.0597,1,247802932721.582,32504.713353478935
