Entity,Code,Year,"Plastic waste generation (tonnes, total)",Population,Annual Growth Rate %,Area (sq km),Density (per sq km),Per capita plastic waste (kg/person/day),Mismanaged waste (% global total),Share of plastic inadequately managed,gdp_per_capita
Albania,ALB,2010,73364,2989272,0.302,27398,109.1,0.069,0.0933,45,4097.833
Algeria,DZA,2010,1898343,35949869,1.948,2381740,15.1,0.144,1.6347,58,4480.719
Angola,AGO,2010,528843,22641144,3.715,1246700,18.2,0.062,0.1964,71,3641.444
Antigua and Barbuda,ATG,2010,22804,86664,1.265,443,195.6,0.66,0.0039,6,13564.679
Argentina,ARG,2010,2753550,41358093,1.047,2736690,15.1,0.183,0.4955,12,10412.974
Aruba,ABW,2010,9352,104537,1.457,180,580.8,0.252,0.0012,1,24084.879
Australia,AUS,2010,900658,21839563,1.495,7682300,2.8,0.112,0.0436,0,56459.924
Bahamas,BHS,2010,51364,NA,NA,NA,NA,0.39,0.0042,1,NA
Bahrain,BHR,2010,59785,1180087,2.971,760,1552.7,0.132,0.0137,10,20827.719
Bangladesh,BGD,2010,1888170,146553896,1.114,130170,1125.9,0.034,2.4725,87,781.154
Barbados,BRB,2010,58164,289599,0.463,430,673.5,0.57,0.0109,4,16203.257
Belgium,BEL,2010,318151,10865721,0.857,30278,358.9,0.08,0.0086,0,44448.17
Belize,BLZ,2010,20191,326646,2.365,22806,14.3,0.172,0.0122,29,4270.939
Benin,BEN,2010,144382,9178306,3.277,110622,83,0.043,0.1351,83,1037.381
Bermuda,BMU,2010,5990,68347,0.612,54,1265.7,0.252,4e-4,0,NA
Bosnia and Herzegovina,BIH,2010,195633,3884835,-0.062,51187,75.9,0.144,0.0407,40,4633.861
Brazil,BRA,2010,11852055,197854947,0.878,8358140,23.7,0.165,1.4804,9,11333.023
British Virgin Islands,VGB,2010,2504,NA,NA,NA,NA,0.252,2e-4,0,NA
Brunei,BRN,2010,3688,394772,1.725,5265,75,0.026,3e-4,1,NA
Bulgaria,BGR,2010,415707,7391080,-0.54,108489,68.1,0.154,0.0588,31,6713.329
Cambodia,KHM,2010,344698,14326901,1.133,176515,81.2,0.066,0.0932,87,788.19
Cameroon,CMR,2010,335305,20899959,2.776,472710,44.2,0.046,0.087,81,1287.567
Canada,CAN,2010,1154309,34200883,1.131,9093507,3.8,0.093,0.025,0,47627.345
Cape Verde,CPV,2010,11919,NA,NA,NA,NA,0.065,0.0294,74,NA
Cayman Islands,CYM,2010,5106,50119,2.346,264,189.8,0.252,3e-4,0,NA
Channel Islands,OWID_CIS,2010,14678,NA,NA,NA,NA,0.252,9e-4,0,NA
Chile,CHL,2010,738106,16760187,0.935,743812,22.5,0.119,0.0683,7,12794.284
China,CHN,2010,59079741,1340788628,0.534,9326410,143.8,0.121,27.6966,74,NA
Colombia,COL,2010,2413455,43821154,0.63,1038700,42.2,0.144,0.2895,21,6498.573
Comoros,COM,2010,50599,710089,2.284,2235,317.7,0.201,0.1822,83,1322.638
Congo,COG,2010,110479,NA,NA,NA,NA,0.069,0.0527,77,NA
Costa Rica,CRI,2010,428029,4515673,1.339,51060,88.4,0.258,0.1322,16,8268.859
Cote d'Ivoire,CIV,2010,766988,NA,NA,NA,NA,0.103,0.611,82,NA
Croatia,HRV,2010,406347,4417475,-0.308,55974,78.9,0.252,0.0517,9,13562.418
Cuba,CUB,2010,368154,11261892,-0.02,109820,102.5,0.089,0.2846,23,NA
Curacao,CUW,2010,13678,NA,NA,NA,NA,0.252,8e-4,0,NA
Cyprus,CYP,2010,100713,1102726,1.666,9241,119.3,0.248,0.0057,0,31439.286
Democratic Republic of Congo,COD,2010,1059795,NA,NA,NA,NA,0.045,0.0478,85,NA
Denmark,DNK,2010,95171,5546980,0.471,42434,130.7,0.047,0.0056,0,58177.162
Djibouti,DJI,2010,31999,739454,2.18,23180,31.9,0.103,0.0544,73,1835.753
Dominica,DMA,2010,3885,73216,0.213,751,97.5,0.149,0.0025,19,6980.957
Dominican Republic,DOM,2010,520238,9432674,1.193,48320,195.2,0.144,0.3713,25,5688.751
Ecuador,ECU,2010,801321,14786116,1.461,276841,53.4,0.147,0.3435,30,4633.247
Egypt,EGY,2010,5464471,81571106,2.465,995450,81.9,0.178,3.0367,67,2922.796
El Salvador,SLV,2010,330763,5966820,0.168,20721,288,0.147,0.3729,33,2983.23
Equatorial Guinea,GNQ,2010,49990,985606,5.23,28051,35.1,0.144,0.0188,30,17153.165
Eritrea,ERI,2010,72120,5368638,2.384,101000,53.2,0.045,0.0511,77,501.424
Estonia,EST,2010,85534,1302817,-0.405,42388,30.7,0.176,0.0188,9,14696.814
Faeroe Islands,FRO,2010,4466,NA,NA,NA,NA,0.252,3e-4,0,NA
Fiji,FJI,2010,59324,875701,0.815,18274,47.9,0.189,0.1547,78,4004.674
Finland,FIN,2010,458084,5354669,0.445,303815,17.6,0.234,0.0157,0,46647.002
France,FRA,2010,4557128,64934209,0.566,640427,101.4,0.192,0.0757,0,42100.289
French Polynesia,PYF,2010,24634,268808,1.066,3827,70.2,0.252,0.004,3,NA
Gabon,GAB,2010,32329,1627676,3.717,257667,6.3,0.054,0.0191,34,8933.306
Gambia,GMB,2010,29646,NA,NA,NA,NA,0.048,0.0616,84,NA
Georgia,GEO,2010,97443,4902939,0.772,69700,70.3,0.068,0.0454,51,3222.065
Germany,DEU,2010,14476561,81751319,-0.037,348672,234.5,0.485,0.0981,0,42379.71
Ghana,GHA,2010,357877,24608905,2.625,227533,108.2,0.04,0.2876,81,1757.029
Gibraltar,GIB,2010,3053,28764,0.268,7,4109.1,0.252,2e-4,0,NA
Greece,GRC,2010,811858,11039844,0.037,130647,84.5,0.2,0.0447,0,26743.4
Greenland,GRL,2010,5234,57604,0.04,2166086,0,0.252,3e-4,0,NA
Grenada,GRD,2010,12417,107862,0.584,344,313.6,0.325,0.0071,18,7258.182
Guam,GUM,2010,14666,163334,0.403,544,300.2,0.252,0.0012,0,NA
Guatemala,GTM,2010,1495229,14211795,2.181,107159,132.6,0.28,0.2875,36,2836.06
Guinea,GIN,2010,118196,9570543,2.603,245717,38.9,0.03,0.0581,84,630.549
Guinea-Bissau,GNB,2010,30666,1516054,2.311,28120,53.9,0.054,0.0636,83,644.344
Guyana,GUY,2010,159681,786937,-0.066,196849,4,0.586,0.1319,36,3837.303
Haiti,HTI,2010,328487,9553473,-1.141,27560,346.6,0.09,0.4628,47,1175.199
Honduras,HND,2010,565317,7991283,1.891,111890,71.4,0.189,0.3003,40,1904.346
Hong Kong,HKG,2010,1020406,7029211,-0.07,1073,6551,0.398,0.0895,1,NA
Iceland,ISL,2010,32620,317924,0.237,100250,3.2,0.281,0.0019,0,43293.021
India,IND,2010,4493080,1220718718,1.288,2973193,410.6,0.01,1.8836,85,1384.174
Indonesia,IDN,2010,5045714,246256766,1.234,1811569,135.9,0.057,10.1019,81,3178.133
Iran,IRN,2010,3919268,75034503,1.216,1531595,49,0.144,0.7769,50,6564.058
Iraq,IRQ,2010,1156524,29072967,3.222,437367,66.5,0.103,0.0489,63,4473.71
Ireland,IRL,2010,715716,4622824,1.005,68883,67.1,0.43,0.0368,0,48612.201
Israel,ISR,2010,826436,7352652,1.863,21497,342,0.297,0.0597,1,30791.278
Italy,ITA,2010,2899258,60786485,0.583,294140,206.7,0.134,0.1029,0,35815.615
Jamaica,JAM,2010,34962,2838638,-0.19,10831,262.1,0.034,0.0315,27,4894.369
Japan,JPN,2010,7993489,127645939,-0.056,364485,350.2,0.171,0.4494,0,45135.796
Jordan,JOR,2010,377506,6800252,2.38,88802,76.6,0.144,0.0055,58,3777.824
Kenya,KEN,2010,407506,41761298,2.956,569140,73.4,0.027,0.0712,83,1176.309
Kiribati,KIR,2010,3859,99664,1.256,811,122.9,0.103,0.0096,84,1518.57
