Entity,Code,Year,"Plastic waste generation (tonnes, total)",Population_2010,Area_km2,Per capita plastic waste (kg/person/day),Mismanaged waste (% global total),Share of plastic inadequately managed,GPD (in USD 2015),Fossil-Fuel subsities as proportion of total GDP
Albania,ALB,2010,73364,3195000,28748,0.069,0.0933,45,10420206418.2643,0.52692
Algeria,DZA,2010,1898343,35978000,2381741,0.144,1.6347,58,140977153154.987,7.17779
Angola,AGO,2010,528843,18992708,1246700,0.062,0.1964,71,93159279071.8947,0.13842
Antigua and Barbuda,ATG,2010,22804,NA,NA,0.66,0.0039,6,1231261603.44532,0.74452
Argentina,ARG,2010,2753550,40518951,2780400,0.183,0.4955,12,552738161802.463,1.07774
Aruba,ABW,2010,9352,101484,NA,0.252,0.0012,1,2628802064.83063,NA
Australia,AUS,2010,900658,22299800,7692024,0.112,0.0436,0,1179642326916.53,0.36664
Bahamas,BHS,2010,51364,353658,NA,0.39,0.0042,1,NA,0.37147
Bahrain,BHR,2010,59785,1234571,765.3,0.132,0.0137,10,26036230937.9271,5.92396
Bangladesh,BGD,2010,1888170,148600000,147570,0.034,2.4725,87,143577568429.643,0.9976
Barbados,BRB,2010,58164,276300,NA,0.57,0.0109,4,4727000110.65619,0.17718
Belgium,BEL,2010,318151,10839905,30528,0.08,0.0086,0,433229543117.888,0.58755
Belize,BLZ,2010,20191,312971,NA,0.172,0.0122,29,1524863986.02698,2.64528
Benin,BEN,2010,144382,9211741,114763,0.043,0.1351,83,9094481722.87524,NA
Bermuda,BMU,2010,5990,NA,NA,0.252,4e-4,0,7543950875.42882,NA
Bosnia and Herzegovina,BIH,2010,195633,3844046,51129,0.144,0.0407,40,15177492377.319,NA
Brazil,BRA,2010,11852055,193252604,8515767,0.165,1.4804,9,1703150040884.74,0.09454
British Virgin Islands,VGB,2010,2504,NA,NA,0.252,2e-4,0,NA,NA
Brunei,BRN,2010,3688,414400,NA,0.026,3e-4,1,NA,1.28202
Bulgaria,BGR,2010,415707,7563710,110993.6,0.154,0.0588,31,47537505667.6491,NA
Cambodia,KHM,2010,344698,14302779,181035,0.066,0.0932,87,12767924407.3675,NA
Cameroon,CMR,2010,335305,19958352,475442,0.046,0.087,81,25389533348.6282,2.47762
Canada,CAN,2010,1154309,34108752,9984670,0.093,0.025,0,1399482212058.69,0.14611
Cape Verde,CPV,2010,11919,512582,NA,0.065,0.0294,74,NA,2.92616
Cayman Islands,CYM,2010,5106,NA,NA,0.252,3e-4,0,4300110884.43538,NA
Channel Islands,OWID_CIS,2010,14678,NA,NA,0.252,9e-4,0,NA,NA
Chile,CHL,2010,738106,17094270,756096,0.119,0.0683,7,201493845099.574,0.48467
China,CHN,2010,59079741,1339724852,9596961,0.121,27.6966,74,7554098728366.12,0.21772
Colombia,COL,2010,2413455,45508205,1141748,0.144,0.2895,21,233471483024.664,0.29873
Comoros,COM,2010,50599,675000,NA,0.201,0.1822,83,833484348.26485,NA
Congo,COG,2010,110479,NA,NA,0.069,0.0527,77,NA,5.83678
Costa Rica,CRI,2010,428029,4563539,51100,0.258,0.1322,16,46858456852.1451,NA
Cote d'Ivoire,CIV,2010,766988,21570746,322463,0.103,0.611,82,34643522302.3377,2.15725
Croatia,HRV,2010,406347,4425747,56594,0.252,0.0517,9,50466734849.7721,NA
Cuba,CUB,2010,368154,11241161,109884,0.089,0.2846,23,75879253449.5413,NA
Curacao,CUW,2010,13678,142180,NA,0.252,8e-4,0,3189726028.81204,NA
Cyprus,CYP,2010,100713,1102677,NA,0.248,0.0057,0,21581989484.9149,NA
Democratic Republic of Congo,COD,2010,1059795,NA,NA,0.045,0.0478,85,NA,1.78734
Denmark,DNK,2010,95171,5534738,42931,0.047,0.0056,0,283894168259.757,0.05677
Djibouti,DJI,2010,31999,879053,NA,0.103,0.0544,73,NA,0.28199
Dominica,DMA,2010,3885,NA,NA,0.149,0.0025,19,544369631.871101,0.0945
Dominican Republic,DOM,2010,520238,9884371,48315,0.144,0.3713,25,55959424375.3002,1.68738
Ecuador,ECU,2010,801321,14483499,283561,0.147,0.3435,30,79915230250.8205,2.7309
Egypt,EGY,2010,5464471,78728000,1010408,0.178,3.0367,67,NA,3.85
El Salvador,SLV,2010,330763,6194126,21041,0.147,0.3729,33,20622814499.2436,1.252
Equatorial Guinea,GNQ,2010,49990,1313000,28050,0.144,0.0188,30,13061295371.5232,NA
Eritrea,ERI,2010,72120,5223994,117600,0.045,0.0511,77,2073049788.22944,NA
Estonia,EST,2010,85534,1340127,45227,0.176,0.0188,9,19412870879.848,0.28382
Faeroe Islands,FRO,2010,4466,NA,NA,0.252,3e-4,0,NA,NA
Fiji,FJI,2010,59324,850700,NA,0.189,0.1547,78,3889692595.79116,NA
Finland,FIN,2010,458084,5351427,338424,0.234,0.0157,0,233552827575.378,0.61083
France,FRA,2010,4557128,62791013,640679,0.192,0.0757,0,2316635691390.19,0.2244
French Polynesia,PYF,2010,24634,267000,NA,0.252,0.004,3,NA,NA
Gabon,GAB,2010,32329,1501266,267667,0.054,0.0191,34,11147389028.9243,1.06086
Gambia,GMB,2010,29646,1750732,10689,0.048,0.0616,84,NA,NA
Georgia,GEO,2010,97443,4436391,69700,0.068,0.0454,51,11741493896.7964,NA
Germany,DEU,2010,14476561,81802257,357168,0.485,0.0981,0,3086729981515.2,0.16154
Ghana,GHA,2010,357877,24223431,239567,0.04,0.2876,81,35165253297.9777,0.08447
Gibraltar,GIB,2010,3053,NA,NA,0.252,2e-4,0,NA,NA
Greece,GRC,2010,811858,11305118,131957,0.2,0.0447,0,239683631166.503,1.27041
Greenland,GRL,2010,5234,NA,NA,0.252,3e-4,0,2458186589.29546,NA
Grenada,GRD,2010,12417,109553,NA,0.325,0.0071,18,855943864.73553,0.41755
Guam,GUM,2010,14666,180865,NA,0.252,0.0012,0,5435968880.80073,NA
Guatemala,GTM,2010,1495229,14361666,108889,0.28,0.2875,36,51426570817.8819,0.24623
Guinea,GIN,2010,118196,10323755,245836,0.03,0.0581,84,7025019965.89314,NA
Guinea-Bissau,GNB,2010,30666,1647380,36125,0.054,0.0636,83,891775800.885315,NA
Guyana,GUY,2010,159681,761442,NA,0.586,0.1319,36,3632810573.79841,0.97431
Haiti,HTI,2010,328487,9855000,27750,0.09,0.4628,47,12902331959.0731,2.52979
Honduras,HND,2010,565317,8045990,112492,0.189,0.3003,40,17516608425.7374,NA
Hong Kong,HKG,2010,1020406,7024200,2755,0.398,0.0895,1,NA,NA
Iceland,ISL,2010,32620,317630,NA,0.281,0.0019,0,15327572988.2618,NA
India,IND,2010,4493080,1182105564,3287263,0.01,1.8836,85,1535897532897.39,1.124
Indonesia,IDN,2010,5045714,237641326,1904569,0.057,10.1019,81,657835435591.365,1.88026
Iran,IRN,2010,3919268,74733230,1648195,0.144,0.7769,50,NA,14.4979
Iraq,IRQ,2010,1156524,32481000,437072,0.103,0.0489,63,120516353029.395,3.33012
Ireland,IRL,2010,715716,4467854,70273,0.43,0.0368,0,209372883796.731,0.30914
Israel,ISR,2010,826436,7623600,22072,0.297,0.0597,1,247802932721.582,0.35843
Italy,ITA,2010,2899258,60340328,301338,0.134,0.1029,0,1899561666732.94,0.89594
Jamaica,JAM,2010,34962,2701200,10991,0.034,0.0315,27,13739175678.6585,NA
Japan,JPN,2010,7993489,128056000,377972,0.171,0.4494,0,4218907820177.17,0.07302
Jordan,JOR,2010,377506,6113000,89341,0.144,0.0055,58,33723826288.3537,1.23582
Kenya,KEN,2010,407506,40862900,580367,0.027,0.0712,83,55748903297.985,0.25241
Kiribati,KIR,2010,3859,100835,NA,0.103,0.0096,84,140781489.184831,NA
Kuwait,KWT,2010,750690,3566437,17818,0.686,0.0361,0,95846136293.4494,6.22288
Latvia,LVA,2010,94935,2248374,64589,0.124,0.0323,14,22987672592.1637,1.11276
Lebanon,LBN,2010,148807,3785655,10452,0.094,0.1502,34,45248719566.8798,4.55831
Liberia,LBR,2010,121050,4101767,111369,0.084,0.1781,84,2523750024.99577,NA
Libya,LBY,2010,324250,6545619,1759541,0.144,0.1657,23,54977402524.177,26.26781
Lithuania,LTU,2010,149227,3329039,65300,0.132,0.0109,14,34387524905.8253,0.54444
Macao,MAC,2010,72126,NA,NA,0.368,0.0022,0,NA,NA
Madagascar,MDG,2010,123526,20146442,587041,0.016,0.1084,84,9925206717.3149,0.99827
Malaysia,MYS,2010,2031675,28334135,330803,0.198,2.9419,55,232653672974.011,0.11042
Maldives,MDV,2010,43134,319738,NA,0.322,0.0988,66,3116691850.28246,NA
Malta,MLT,2010,32377,414372,NA,0.214,0.0082,6,8521308887.16299,NA
Marshall Islands,MHL,2010,3674,NA,NA,0.192,0.01,77,180807400,NA
Mauritania,MRT,2010,59287,3217383,1030000,0.045,0.0435,82,4951454243.97486,0.74143
