Entity,Code,Year,12.c.1 - Fossil-fuel subsidies (consumption and production) per capita (constant United States dollars) - ER_FFS_CMPT_PC
Afghanistan,AFG,2015,0.76926
Afghanistan,AFG,2016,0.78868
Afghanistan,AFG,2017,0.80777
Afghanistan,AFG,2018,0.83028
Afghanistan,AFG,2019,0.85664
Africa,,2015,39.02791
Africa,,2016,34.10601
Africa,,2017,46.90006
Africa,,2018,59.88073
Africa,,2019,41.86598
Albania,ALB,2015,20.75748
Albania,ALB,2016,21.74107
Albania,ALB,2017,22.78334
Albania,ALB,2018,23.85651
Albania,ALB,2019,25.01672
Algeria,DZA,2015,299.87991
Algeria,DZA,2016,176.5641
Algeria,DZA,2017,228.0103
Algeria,DZA,2018,397.474
Algeria,DZA,2019,304.63207
Americas,,2015,47.15005
Americas,,2016,41.7588
Americas,,2017,51.20073
Americas,,2018,58.21946
Americas,,2019,41.49348
Angola,AGO,2015,5.768
Angola,AGO,2016,15.63725
Angola,AGO,2017,6.35133
Angola,AGO,2018,52.42026
Angola,AGO,2019,33.55217
Antigua and Barbuda,ATG,2015,106.35774
Antigua and Barbuda,ATG,2016,107.39526
Antigua and Barbuda,ATG,2017,108.50406
Antigua and Barbuda,ATG,2018,109.68821
Antigua and Barbuda,ATG,2019,110.92004
Argentina,ARG,2015,161.3535
Argentina,ARG,2016,88.96787
Argentina,ARG,2017,108.86309
Argentina,ARG,2018,113.67773
Argentina,ARG,2019,95.16272
Armenia,ARM,2015,1.57679
Armenia,ARM,2016,1.55919
Armenia,ARM,2017,1.61845
Armenia,ARM,2018,1.68409
Armenia,ARM,2019,1.75608
Asia,,2015,54.0715
Asia,,2016,47.20557
Asia,,2017,54.34752
Asia,,2018,66.90124
Asia,,2019,52.71235
Australia,AUS,2015,191.13503
Australia,AUS,2016,293.06001
Australia,AUS,2017,315.72932
Australia,AUS,2018,283.68462
Australia,AUS,2019,284.86343
Australia and New Zealand,,2015,162.02052
Australia and New Zealand,,2016,247.74615
Australia and New Zealand,,2017,266.43698
Australia and New Zealand,,2018,239.97648
Australia and New Zealand,,2019,241.08687
Austria,AUT,2015,93.10623
Austria,AUT,2016,93.83403
Austria,AUT,2017,93.50217
Austria,AUT,2018,98.33183
Austria,AUT,2019,95.99125
Azerbaijan,AZE,2015,120.78492
Azerbaijan,AZE,2016,156.33603
Azerbaijan,AZE,2017,211.21039
Azerbaijan,AZE,2018,293.64482
Azerbaijan,AZE,2019,189.99357
Bahamas,BHS,2015,116.25334
Bahamas,BHS,2016,117.41016
Bahamas,BHS,2017,118.20856
Bahamas,BHS,2018,119.00631
Bahamas,BHS,2019,119.59865
Bahrain,BHR,2015,1344.0806
Bahrain,BHR,2016,852.62517
Bahrain,BHR,2017,931.81811
Bahrain,BHR,2018,265.4004
Bahrain,BHR,2019,469.82081
Bangladesh,BGD,2015,12.41547
Bangladesh,BGD,2016,7.15188
Bangladesh,BGD,2017,9.26252
Bangladesh,BGD,2018,17.90494
Bangladesh,BGD,2019,10.37265
Barbados,BRB,2015,29.27869
Barbados,BRB,2016,29.81127
Barbados,BRB,2017,30.38476
Barbados,BRB,2018,31.01102
Barbados,BRB,2019,31.705
Belarus,BLR,2015,10.49556
Belarus,BLR,2016,9.03084
Belarus,BLR,2017,9.4022
Belarus,BLR,2018,9.75391
Belarus,BLR,2019,10.09372
Belgium,BEL,2015,240.5525
Belgium,BEL,2016,246.25645
Belgium,BEL,2017,271.87421
Belgium,BEL,2018,263.91391
Belgium,BEL,2019,275.60223
Belize,BLZ,2015,126.33892
Belize,BLZ,2016,126.87059
Belize,BLZ,2017,127.48852
Belize,BLZ,2018,128.18772
Belize,BLZ,2019,128.94036
Bolivia,BOL,2015,58.10143
Bolivia,BOL,2016,34.27249
Bolivia,BOL,2017,50.82395
Bolivia,BOL,2018,98.22137
Bolivia,BOL,2019,63.72331
Botswana,BWA,2015,49.15651
Botswana,BWA,2016,50.08137
Botswana,BWA,2017,51.02409
Botswana,BWA,2018,51.92392
Botswana,BWA,2019,52.68387
Brazil,BRA,2015,8.33309
Brazil,BRA,2016,8.96686
Brazil,BRA,2017,9.46754
Brazil,BRA,2018,9.86491
Brazil,BRA,2019,10.20695
Brunei,BRN,2015,399.52617
Brunei,BRN,2016,215.20233
Brunei,BRN,2017,369.37813
Brunei,BRN,2018,498.21429
Brunei,BRN,2019,429.72933
Burkina Faso,BFA,2015,7.49571
Burkina Faso,BFA,2016,7.79134
Burkina Faso,BFA,2017,8.08592
Burkina Faso,BFA,2018,8.38677
Burkina Faso,BFA,2019,8.69296
Cameroon,CMR,2015,32.8656
Cameroon,CMR,2016,33.8931
Cameroon,CMR,2017,34.89117
Cameroon,CMR,2018,35.89632
Cameroon,CMR,2019,36.89955
Canada,CAN,2015,63.10944
Canada,CAN,2016,70.92304
Canada,CAN,2017,68.11216
Canada,CAN,2018,58.39622
Canada,CAN,2019,60.34486
Cape Verde,CPV,2015,89.00789
Cape Verde,CPV,2016,91.48812
Cape Verde,CPV,2017,94.05227
